도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,공수,교통량,기관구분1,기관구분2,기관구분3,준공년도,
고속국도,고속국도12호선,노안터널(무안),전라남도,나주시,문평면,국동리,1190,12.3,12.3,7.4,,20634,전문관리기관,한국도로공사,함평지사,2007,
고속국도,고속국도40호선,노은1터널(제천),충청북도,충주시,노은면,문성리,979,11.7,10.7,7.3,,13215,전문관리기관,한국도로공사,엄정지사,2014,
고속국도,고속국도40호선,노은1터널(평택),충청북도,충주시,노은면,문성리,968,11.7,10.7,7.3,,13215,전문관리기관,한국도로공사,엄정지사,2014,
고속국도,고속국도40호선,노은2터널(제천),충청북도,충주시,노은면,신효리,206,11.6,10.7,7.3,,13215,전문관리기관,한국도로공사,엄정지사,2014,
고속국도,고속국도40호선,노은2터널(평택),충청북도,충주시,노은면,신효리,210,11.6,10.7,8.1,,13215,전문관리기관,한국도로공사,엄정지사,2014,
고속국도,고속국도40호선,노은3터널(제천),충청북도,충주시,노은면,신효리,368,11.6,10.7,7.4,,13215,전문관리기관,한국도로공사,엄정지사,2014,
고속국도,고속국도40호선,노은3터널(평택),충청북도,충주시,노은면,신효리,356,11.6,10.7,7.4,,13215,전문관리기관,한국도로공사,엄정지사,2014,
고속국도,고속국도40호선,노은4터널(제천),충청북도,충주시,노은면,신효리,535,11.6,10.7,7.3,,13215,전문관리기관,한국도로공사,엄정지사,2014,
고속국도,고속국도40호선,노은4터널(평택),충청북도,충주시,노은면,신효리,450,11.6,10.7,7.3,,13215,전문관리기관,한국도로공사,엄정지사,2014,
고속국도,고속국도29호선,능안산터널(상행),경기도,광주시,직동,,762,12.8,,7.4,,9527,전문관리기관,한국도로공사,용인지사,2024,
고속국도,고속국도29호선,능안산터널(하행),경기도,광주시,직동,,757,12.8,,7.4,,9527,전문관리기관,한국도로공사,용인지사,2024,
고속국도,고속국도55호선,다부터널(부산),경상북도,칠곡군,가산면,다부리,1075,10,7.2,6.7,,28879,전문관리기관,한국도로공사,군위지사,2000,
고속국도,고속국도55호선,다부터널(춘천),경상북도,칠곡군,가산면,다부리,1041,10,7.2,6.7,,28879,전문관리기관,한국도로공사,군위지사,1995,
고속국도,고속국도700호선,다사터널(달서),경상북도,칠곡군,지천면,오산리,705,8.4,8.4,4.8,,12346,전문관리기관,한국도로공사,대구지사,2022,
